Date,Dividends
1999-12-30,0.12
2000-06-29,0.12
2017-03-31,0.76
1995-12-28,0.0775
1996-06-27,0.085
2005-06-30,0.34
2007-12-28,0.47
2013-09-27,0.62
2000-12-28,0.14
2003-06-27,0.22
1997-01-03,0.0925
2007-09-28,0.45
2016-04-01,0.72
1995-06-29,0.0775
2012-03-30,0.55
2017-12-29,0.79
2008-03-28,0.47
2012-12-28,0.57
2016-09-30,0.74
2004-12-30,0.32
2008-06-27,0.49
2012-09-28,0.57
2002-06-27,0.185
1998-01-02,0.1
1998-07-03,0.1
2015-04-02,0.68
2002-03-28,0.185
1998-04-03,0.1
1998-10-02,0.1
2019-06-28,0.87
1997-03-27,0.0925
2020-04-06,0.9
2009-12-31,0.49
2011-06-30,0.52
2005-12-29,0.36
2007-06-28,0.45
2020-07-06,0.9
2001-06-28,0.155
2001-10-05,0.17
1997-10-03,0.0925
2010-04-01,0.49
2014-03-28,0.64
2015-12-31,0.7
2018-06-29,0.82
2010-12-30,0.49
2014-06-27,0.64
2006-06-29,0.39
2006-12-28,0.42
2020-01-06,0.9
2003-01-03,0.2
2004-04-02,0.25
2004-10-01,0.3
2017-10-02,0.79
2000-03-31,0.12
2000-09-29,0.14
2013-03-28,0.6
2016-12-29,0.74
2017-06-29,0.76
2009-04-03,0.49
1995-03-29,0.0775
1996-09-27,0.085
2011-12-29,0.52
2013-06-27,0.6
2009-07-03,0.49
2018-04-02,0.82
2021-01-04,0.9
2004-01-02,0.25
2009-10-02,0.49
2020-10-05,0.9
1999-07-02,0.105
2003-10-03,0.22
2005-04-01,0.32
1999-10-01,0.12
2001-03-30,0.155
2016-06-30,0.72
2014-01-03,0.62
1995-09-29,0.0775
1996-03-29,0.0775
2012-06-28,0.55
2009-01-02,0.49
2004-07-02,0.3
2008-10-03,0.49
2018-12-31,0.85
2001-12-28,0.17
2006-03-31,0.36
2006-09-29,0.39
2019-09-30,0.9
2002-09-27,0.185
2011-04-01,0.52
2015-01-02,0.66
2015-07-03,0.68
2007-03-30,0.42
2015-10-02,0.7
2011-09-30,0.52
1998-12-31,0.105
2005-09-30,0.34
2018-10-01,0.85
1997-06-27,0.0925
1999-04-01,0.105
2003-03-28,0.2
2010-07-02,0.49
2014-10-03,0.66
2019-04-01,0.87
2010-10-01,0.49
