Date,Dividends
1998-05-13,0.068125
2019-05-14,0.738
1998-02-11,0.068125
1998-08-12,0.071875
2019-02-14,0.738
2002-02-11,0.095
2009-11-12,0.185
2006-02-13,0.144
2007-08-13,0.154
2005-11-10,0.144
2011-08-11,0.245
1997-05-14,0.064375
2003-02-12,0.10375
2005-08-11,0.125
2019-11-14,0.738
1999-02-10,0.071875
2014-05-13,0.35
2018-08-14,0.671
2015-11-12,0.465
2020-02-13,0.81
1998-11-17,0.071875
2002-05-15,0.095
2006-05-11,0.144
2000-05-10,0.08075
2004-02-11,0.1145
2020-11-12,0.81
2013-05-13,0.315
2000-02-09,0.07575
2000-08-09,0.08075
2017-02-13,0.583
2016-11-10,0.53
2017-05-11,0.61
2021-02-11,0.835
2012-02-13,0.283
2009-05-13,0.185
2011-11-10,0.245
2016-02-11,0.53
2003-11-12,0.10375
2008-02-13,0.165
1999-05-12,0.0755
2003-08-13,0.10375
2005-02-11,0.125
2020-05-14,0.81
1999-08-11,0.07575
2001-02-07,0.0875
2013-11-13,0.315
2016-05-12,0.53
2018-02-14,0.671
2020-08-13,0.81
2012-08-13,0.283
2008-11-12,0.165
1995-08-11,0.0625
2013-02-13,0.315
2016-08-11,0.53
2004-11-10,0.1145
2008-08-13,0.165
2009-02-11,0.185
2006-08-11,0.144
2018-11-14,0.671
2002-08-07,0.095
2014-11-12,0.35
2015-05-13,0.465
2019-08-14,0.738
2003-05-19,0.10375
2011-05-11,0.245
2001-11-21,0.0875
2014-02-12,0.35
2015-08-12,0.465
1995-05-23,0.0625
1997-11-19,0.068125
2010-02-10,0.2125
2007-05-11,0.154
2018-05-14,0.671
1997-08-20,0.068125
2001-08-08,0.0875
2002-11-18,0.095
2010-05-12,0.2125
2010-11-10,0.2125
2014-08-13,0.35
2015-02-11,0.465
2007-02-13,0.154
2010-08-11,0.2125
2006-11-10,0.144
2011-02-11,0.245
2004-08-12,0.1145
1995-11-17,0.0625
1996-02-14,0.0625
2012-11-13,0.283
1996-08-16,0.064375
1996-05-13,0.0625
2007-11-13,0.154
2013-08-13,0.315
2017-08-11,0.61
1999-11-17,0.07575
2001-05-16,0.0875
2005-05-12,0.125
2009-08-13,0.185
1995-02-07,0.0625
1996-11-13,0.064375
2017-11-14,0.61
1997-02-12,0.064375
2008-05-13,0.165
2012-05-11,0.283
2000-11-15,0.08075
2004-05-13,0.1145
