Date,Dividends
2005-10-21,0.32
2018-01-24,0.91
2018-07-25,0.94
1997-04-22,0.0925
2018-10-24,0.98
1997-07-22,0.0975
1997-01-23,0.0925
2006-04-21,0.36
1997-10-23,0.0975
2019-04-24,1.02
2010-10-22,0.5
2000-07-21,0.15
2019-01-23,0.98
2004-10-22,0.26
2000-04-19,0.135
2002-01-22,0.18
2017-10-25,0.91
2017-07-24,0.87
1998-01-22,0.105
2010-01-22,0.5
1996-10-22,0.085
2001-04-20,0.165
2005-07-22,0.305
2006-01-24,0.32
2020-01-24,1.05
2020-07-24,1.08
2007-10-23,0.5
2003-01-23,0.2
2016-01-22,0.79
2016-07-22,0.81
2020-10-23,1.08
1995-04-18,0.0725
1999-01-21,0.115
1999-07-22,0.12
2003-10-23,0.23
1995-10-23,0.0775
2008-04-22,0.5
2012-07-24,0.57
1999-10-21,0.12
2008-10-23,0.5
2004-04-20,0.26
2008-07-22,0.5
2007-01-23,0.4
2012-10-23,0.6
2019-07-24,1.02
2006-10-24,0.4
2004-01-22,0.23
2019-10-23,1.05
1996-01-22,0.0775
1998-07-23,0.115
2017-01-24,0.83
2011-07-22,0.54
1995-01-19,0.0725
2012-01-24,0.54
1998-10-22,0.115
2020-04-22,1.08
2007-07-24,0.46
2008-01-22,0.5
2001-01-22,0.165
2001-07-23,0.18
2018-04-24,0.94
2014-01-23,0.67
2001-10-22,0.18
2014-04-22,0.71
2009-01-22,0.5
2010-07-22,0.5
2014-10-23,0.75
2010-04-20,0.5
2013-01-22,0.6
2014-07-22,0.71
2002-04-22,0.19
2006-07-24,0.36
2005-01-24,0.275
2017-04-21,0.87
1996-04-22,0.02125
2004-07-22,0.26
2015-01-22,0.75
1996-07-22,0.085
2000-10-23,0.15
2013-04-23,0.63
2009-07-23,0.5
2009-04-21,0.5
2013-07-23,0.63
2009-10-22,0.5
2013-10-22,0.67
2005-04-21,0.275
2016-04-21,0.81
2003-07-21,0.215
1999-04-21,0.115
2012-04-23,0.57
2011-01-24,0.5
2016-10-24,0.83
1995-07-21,0.0725
2000-01-21,0.135
2002-07-22,0.19
1998-04-22,0.105
2021-01-25,1.08
2011-04-21,0.5
2015-07-23,0.77
2002-10-21,0.2
2015-04-21,0.77
2015-10-22,0.79
2007-04-23,0.46
2003-04-21,0.215
2011-10-24,0.54
