Date,Dividends
1995-06-13,0.016875
2006-11-29,0.04
2011-03-02,0.1
2003-09-02,0.025
2019-12-02,0.42
2020-06-03,0.21
2014-12-01,0.28
2016-06-01,0.29
1998-12-11,0.02125
2015-03-02,0.28
2000-06-13,0.02125
2010-12-01,0.1
2002-12-11,0.0215
2008-02-29,0.05
1998-09-11,0.02125
2006-05-31,0.04
2010-09-01,0.1
2004-03-02,0.025
2006-08-30,0.04
2019-06-03,0.42
2020-12-02,0.21
2015-11-30,0.29
2003-02-28,0.0215
1999-06-11,0.02125
2011-06-01,0.11
2011-11-30,0.11
2015-09-02,0.29
2016-03-02,0.29
2001-03-13,0.02125
2018-06-01,0.36
2005-03-01,0.03
2005-08-30,0.03
1997-09-11,0.02125
2002-06-13,0.0215
2018-08-31,0.36
2016-11-30,0.29
2021-03-03,0.21
1996-12-12,0.02125
2002-09-12,0.0215
2014-09-02,0.28
2017-03-01,0.32
1996-09-12,0.02125
2008-09-02,0.05
1997-12-11,0.02125
2018-11-30,0.36
2004-08-31,0.03
2013-05-31,0.2
2013-11-29,0.2
2018-03-02,0.36
2013-08-30,0.2
2014-02-28,0.23
2009-06-02,0.05
2005-12-07,0.03
2003-06-02,0.025
1999-09-13,0.02125
2007-05-31,0.05
2011-09-01,0.11
2020-09-03,0.21
1995-09-13,0.01875
2007-03-01,0.04
2007-08-30,0.05
1999-03-11,0.02125
2016-09-01,0.29
2019-03-01,0.42
2008-06-02,0.05
2012-05-31,0.13
2003-12-01,0.025
2000-03-13,0.02125
1995-12-13,0.01875
2007-11-29,0.05
1998-06-11,0.02125
2012-03-01,0.11
1996-03-13,0.01875
2015-06-02,0.28
2019-09-03,0.42
2020-03-03,0.465
1995-03-09,0.016875
1999-12-13,0.02125
2009-03-02,0.05
2004-12-01,0.03
2005-06-01,0.03
1997-06-11,0.02125
2009-09-02,0.1
2001-09-12,0.02125
2013-02-28,0.13
2017-11-30,0.32
1997-03-12,0.02125
2014-06-02,0.23
2008-12-01,0.05
2010-06-02,0.1
2000-12-13,0.02125
2012-11-29,0.13
2004-06-02,0.03
1996-06-12,0.01875
2010-03-03,0.1
2000-09-13,0.02125
2002-03-13,0.02125
2012-08-30,0.13
2017-06-01,0.32
2006-03-01,0.03
1998-03-11,0.02125
2017-08-31,0.32
2009-11-30,0.1
2001-06-13,0.02125
2001-12-12,0.02125
