Date,Dividends
1994-12-09,0.016875
1995-06-13,0.016875
2006-11-29,0.0355
2011-03-02,0.101
2003-09-02,0.025
2019-12-02,0.316
2020-06-03,0.155
2014-12-01,0.245
1994-03-09,0.01625
2016-06-01,0.221
1998-12-11,0.02125
2015-03-02,0.224
2000-06-13,0.02125
2010-12-01,0.098
2002-12-11,0.0215
2008-02-29,0.049
1998-09-11,0.02125
2006-05-31,0.0355
2010-09-01,0.094
1994-09-09,0.016875
2004-03-02,0.025
2006-08-30,0.036
2019-06-03,0.311
2020-12-02,0.162
2015-11-30,0.217
2003-02-28,0.0215
1999-06-11,0.02125
2011-06-01,0.116
2011-11-30,0.107
2015-09-02,0.219
2016-03-02,0.216
2001-03-13,0.02125
2018-06-01,0.278
2005-03-01,0.03
2005-08-30,0.025
1997-09-11,0.02125
2002-06-13,0.0215
2021-03-03,0.166
1996-12-12,0.02125
2002-09-12,0.0215
2014-09-02,0.258
2017-03-01,0.241
1996-09-12,0.02125
2008-09-02,0.048
1997-12-11,0.02125
2018-11-30,0.271
2004-08-31,0.03
2013-05-31,0.194
2013-11-29,0.189
2018-03-02,0.28
2013-08-30,0.19
2014-02-28,0.207
2001-09-17,0.02125
2009-06-02,0.046
2005-12-07,0.0255
2003-06-02,0.025
1999-09-13,0.02125
2007-05-31,0.0465
2011-09-01,0.112
2020-09-03,0.161
1995-09-13,0.01875
2007-03-01,0.0345
2007-08-30,0.0475
1999-03-11,0.02125
2016-09-01,0.221
2019-03-01,0.319
2008-06-02,0.051
2012-05-31,0.127
2003-12-01,0.025
2000-03-13,0.02125
1995-12-13,0.01875
2007-11-29,0.0505
1998-06-11,0.02125
2012-03-01,0.111
1996-03-13,0.01875
1994-06-09,0.01625
2015-06-02,0.224
2019-09-03,0.315
2020-03-03,0.349
1995-03-09,0.016875
1999-12-13,0.02125
2009-03-02,0.04
2001-09-12,0.085
2004-12-01,0.03
2005-06-01,0.024
1997-06-11,0.02125
2009-09-02,0.091
2013-02-28,0.131
2017-11-30,0.249
1997-03-12,0.02125
2014-06-02,0.212
2008-12-01,0.04
2010-06-02,0.099
2000-12-13,0.02125
2012-11-29,0.131
2004-06-02,0.0215
1996-06-12,0.01875
2010-03-03,0.093
2000-09-13,0.02125
2002-03-13,0.02125
2012-08-30,0.131
2017-06-01,0.237
2006-03-01,0.026
1998-03-11,0.02125
2017-08-31,0.254
2009-11-30,0.093
2001-06-13,0.02125
2001-12-12,0.02125
