Date,Dividends
1996-10-10,0.0625
1995-06-13,0.055
1999-03-16,0.085
1999-09-14,0.095
2017-07-06,0.6
1995-03-10,0.055
1995-09-12,0.055
2017-10-05,0.6
2013-10-01,0.425
2018-04-09,0.67
2009-07-02,0.305
2004-06-15,0.17
2018-07-09,0.67
2009-10-01,0.305
1998-12-15,0.085
2000-06-13,0.125
2004-09-14,0.18
2003-03-18,0.14
2021-01-07,0.79
1995-12-12,0.0625
1998-09-15,0.085
2000-03-14,0.105
2020-10-08,0.79
2010-01-04,0.305
2008-04-01,0.295
2008-07-07,0.295
2012-07-03,0.36
1996-03-12,0.0625
2014-01-02,0.43
2003-06-17,0.14
2003-12-16,0.16
1999-12-14,0.105
2017-04-06,0.6
2003-09-16,0.16
2004-03-16,0.17
2015-04-02,0.51
2019-10-09,0.74
2001-03-13,0.14
2007-04-02,0.265
2011-07-04,0.33
2011-10-03,0.34
2020-04-08,0.79
2004-12-14,0.18
2006-06-13,0.22
2007-10-01,0.285
2016-04-06,0.55
2000-12-12,0.125
2005-03-15,0.2
2006-09-12,0.24
2019-01-09,0.67
2014-04-01,0.47
2014-07-07,0.47
2016-01-06,0.51
2000-09-12,0.125
2002-03-12,0.14
2002-12-18,0.14
2010-04-01,0.305
2005-06-14,0.2
2005-12-13,0.21
2001-06-12,0.14
2005-09-13,0.21
2006-03-14,0.22
2013-04-01,0.405
2017-01-06,0.55
2009-04-01,0.305
2013-01-02,0.385
2013-07-05,0.405
2008-01-02,0.285
1996-06-18,0.0625
2012-04-02,0.36
2016-07-06,0.55
2016-10-05,0.55
2012-10-01,0.385
2009-01-02,0.305
2008-10-01,0.305
2018-01-09,0.6
2015-07-07,0.51
1997-03-18,0.07
1997-09-16,0.07
2011-01-04,0.305
2011-04-01,0.33
2015-01-02,0.47
2007-07-03,0.265
2015-10-02,0.51
2002-06-18,0.14
1996-12-17,0.07
1998-06-16,0.085
2002-09-17,0.14
2020-07-09,0.79
2018-10-09,0.67
1998-03-17,0.08
2012-01-03,0.34
2007-01-02,0.24
2014-10-01,0.47
2019-04-09,0.74
2010-07-02,0.305
2001-12-18,0.14
2019-07-09,0.74
2010-10-01,0.305
1997-06-17,0.07
1997-12-16,0.08
2001-09-18,0.14
2020-01-09,0.74
